model,provider,overall_accuracy,L0_accuracy,L1_accuracy,L2_accuracy,L3_accuracy,delta,selection_gap,argument_accuracy,avg_latency_ms
Llama 3.1 8B (Groq),groq,0.6641,0.2708,0.7582,0.8707,0.7600,-0.4891,True,0.5230,383.2
Command A,cohere,0.5840,0.4583,0.6269,0.8776,0.4078,0.0505,True,0.7588,3509.7
Mistral Small,mistral,0.5745,0.4583,0.5972,0.8757,0.4095,0.0488,True,0.7338,1152.8
Command R+,cohere,0.5616,0.4375,0.5747,0.8797,0.4033,0.0342,True,0.7125,4105.7
Llama 3.1 8B (Cerebras),cerebras,0.5601,0.3125,0.6608,0.8118,0.4639,-0.1514,True,0.5804,750.4
Mistral Large,mistral,0.5536,0.3958,0.5951,0.8791,0.3847,0.0111,True,0.7081,1438.1
Mistral Medium,mistral,0.5521,0.4375,0.5751,0.8794,0.3634,0.0741,True,0.7329,1053.5
Gemini 2.0 Flash (OpenRouter),openrouter,0.5276,0.3958,0.5238,0.8566,0.3901,0.0057,True,0.7537,654.2
GPT-OSS 120B (Cerebras),cerebras,0.4719,0.4583,0.5629,0.5606,0.2903,0.1680,True,0.7289,405.2
Llama 4 Scout 17B (Groq),groq,0.3770,0.3750,0.4956,0.5580,0.0700,0.3050,False,0.7054,266.4
Granite4 3B,ollama,0.4783,0.4583,0.5735,0.5609,0.3025,0.1558,True,0.6774,1235.9
Granite4 1B,ollama,0.4637,0.4167,0.5630,0.5591,0.2989,0.1178,True,0.6601,975.5
Mistral 7B,ollama,0.4612,0.4375,0.5766,0.4924,0.3049,0.1326,True,0.6626,2779.5
Llama 3.1 8B,ollama,0.4594,0.3958,0.5667,0.5611,0.2950,0.1008,True,0.6513,2261.5
Mistral Nemo 12B,ollama,0.4553,0.3750,0.5837,0.5103,0.3184,0.0566,True,0.6514,3485.3
Qwen 2.5 7B,ollama,0.4460,0.3958,0.5673,0.5378,0.2580,0.1379,True,0.6165,2245.2
Mistral Small 24B,ollama,0.4034,0.3750,0.5113,0.4772,0.2262,0.1488,True,0.5154,6716.8
Qwen3 8B,ollama,0.3774,0.3542,0.5200,0.3689,0.2177,0.1365,True,0.5683,11185.2
